coffee_id,Name,Roaster,Farmer,Region,Country,Elevation,Process,Roast,Varietals,Roaster Notes
214,Ardi,Hagen,,Sidamo,Ethiopia,1950,Natural,,Heirlooms,"Strawberry, Floral Honey, Black Cherry"
215,Costa Rica Las Lajas,Hagen,Las Lajas Farm & Mill,Alajuela,Costa Rica,1575,Natural,,Villa Sarchi,"Raspberry, Fruit Punch, Cherry Wine"
216,Ethiopia Naga Singage,Hagen,,Gedeo Zone | Yirgacheffe,Ethiopia,1900,Natural,,Heirlooms,"Mango, Fruit Punch"
217,Kenya Swiss Water Decaf,Hagen,,,Kenya,,Swiss Water,,SL 28 | SL 34,"Berry Medley, Sweet, Red Grape"
218,Finca Santa Rosa,Hagen,,Chalatenango,El Salvador,1500,Natural,Light,Pacamara,"Red Apple, Dark Chocolate, Pecan"
219,Finca San Andres,Hagen,San Andres,Chalatenango,El Salvador,1600,Natural,,Pacamara,"Honeydex Melon, Walnut, Black Currant"
220,Cacemud,Haiti Coffee Company,,,Haiti,,Washed,Medium,Typica | Blue Mountain | Bourbon | Caturra,"Slightly sweet, nutty, chocolate"
221,Colombia Decaf,Halfwit,Agprocem,"Montalmo, Planadas, Toliwa",Colombia,,Washed,,,"Chocolate cake, mixed berries, marshmellow"
222,Ethiopia Kochere,Heart,,Yirgacheffe,Ethiopia,1900,Washed,,Heirloom,"Bergamot, honey, hibiscus"
223,Ethiopia Yirgacheffe,Hedge,Bedhatu Jibicho,Gedeo Zone,Ethiopia,1850,Natural,Light,Heirloom,"Blackberry, Lemon, Jasmine"
224,House Drip,Herkimer,,,Blend,,Washed,Medium Dark,"Bourbon, Pacas, Lempira","Dark Chocolate, Caramel, Black Cherry"
225,Conscientious Objector,Highwire,,,,,Washed,Medium,Arabica,"Creamy, Substantial, Juicy"
226,Skeleton Key Decaf,Huckleberry,Mustafa family,Risaralda,Colombia,,Ethyl Acetate,,,"Raisin, Dried Cherry, Chocolate, Caramel"
227,Ethiopia Sidamo,Humblemaker Coffee,,,Ethiopia,,Natural,,,"Milk Chocolate, Caramel, Blueberry"
228,Cottonwood Creek Decaf,Humblemaker Coffee,,,Peru,,Swiss Water,,,"Caramel, Chocolate, Orange"
229,Bolivia Geisha,Intelligentsia,,,Bolivia,,,,,
230,Peru,Intelligentsia,,,Peru,,,,,
231,Rwanda,Intelligentsia,,,Rwanda,,,,,
232,Santuario Red Typica,Intelligentsia,Camilio Merizalde,,Colombia,,,,Red Typica,"Pomegranate, plum and lime"
233,Tres Santos,Intelligentsia,Jose Alberto Diaz & Fausto Lasso,San Agustin,Colombia,,,,Caturra,"Raw Sugar, Lemon Curd, Raisin"
234,Guatemala,Ipsento,Finca Guayabales,Huehuetenango,Guatemala,,Washed,,Caturra | Bourbon,"Red grape, toffee, balanced acidty, solid body"
235,Santa Isabel / Guatemala,Irving Farm,Alex & Martin Keller,Santa Rosa,Guatemala,1300,Washed,,Bourbon | Batuai | Caturra,"Vanilla, Butterscotch, Lemon Zest"
236,Rwanda Lake Kivu,Java House,,,,,,,,"Citrus, dark chocolate, floral"
237,La Familia Guarnizo,Joe Coffee,The Guarnizo Family,"Tarqui, Huila",Colombia,1700,Washed,,Caturra,"Caramel, Honey, Clementine"
238,Ejo Heza,Joe Coffee,Kopakoma Cooperative,Rutsiro,Rwanda,1800,Washed,Light-Medium,Bourbon,"Red Plum, Orange Blossom, Custard"
239,Mirolindo,Junior's Roasted Coffee,"Dorian Felipe Osorio, Rolando Cordoba, and Onias Suarez",Huila Department,Colombia,1700,Washed,,Caturra | Colombia Varietals,"Brown sugar, Orange, Vanilla"
240,Sitio Belis,Kalsada,,Belis,Philippines,,Yellow Honey,,"Typice, Red Bourbon, Yellow Bourbon",
241,Burundi Nemba Natural,Kickapoo,,Kayanza,Burundi,1900,Natural,,Red Bourbon,"Red Currant, Blackberry & Lime"
242,Burundi Nemba Washed,Kickapoo,,Kayanza,Burundi,1900,Washed,,Red Bourbon,"Sugar Cookie, Apricot & Spice"
